date,add_t,rm_t
2005-07-22,WFT,
2005-07-22,,TOY
2005-08-11,TSN,
2005-08-11,,UCL
2005-08-12,VNO,
2005-08-12,,SDS
2005-08-15,MUR,
2005-08-15,,NXTL
2005-08-19,PSA,
2005-08-19,,DALRQ
2005-08-29,,MAY
2005-10-03,AMP,
2005-10-03,,G
2005-10-03,,PVN
2005-10-04,LEN,
2005-10-11,PDCO,
2005-10-11,,DPHIQ
2005-11-21,AMZN,
2005-12-02,GNW,
2005-12-02,,CPNLQ
2005-12-20,SSP,
2005-12-20,,GP
2006-01-03,VIAB,
2006-01-03,WFM,
2006-01-03,,KRB
2006-01-03,,VSTNQ
2006-01-04,,MERQ
2006-01-05,EL,
2006-02-01,VRSN,
2006-02-01,,RBK
2006-02-01,,SEBL
2006-02-27,BRL,
2006-02-27,,SFA
2006-03-03,,DCNAQ
2006-04-03,BXP,
2006-04-03,DF,
2006-04-03,GOOGL,
2006-04-03,KIM,
2006-04-03,,BR
2006-04-03,,CIN
2006-04-03,,JP
2006-04-03,,MYG
2006-04-20,SNDK,
2006-04-20,,CHIR
2006-04-24,LM,
2006-04-24,,GDT
2006-05-18,EQ,
2006-05-18,,AMCC
2006-06-02,JNPR,
2006-06-02,,ABS
2006-06-06,CBH,
2006-06-06,,EC
2006-06-28,CNX,
2006-06-28,,KRI
2006-07-18,WIN,
2006-07-18,,CTB
2006-08-01,H,
2006-08-01,,CAR
2006-08-01,,GTW
2006-08-11,CME,
2006-08-11,,KMG
2006-10-02,WU,
2006-10-02,,ANDW
2006-10-02,,GDW
2006-11-06,CELG,
2006-11-06,,ASO
2006-11-10,CBRE,
2006-11-10,FIS,
2006-11-10,,FSH
2006-11-10,,LPX
2006-11-17,CTSH,
2006-11-17,,ACV
2006-11-20,BTUUQ,
2006-11-20,,HCA
2006-12-01,IAC,
2006-12-01,,LU
2006-12-01,,NFB
2006-12-04,,FSL
2006-12-20,TEX,
2006-12-20,,NAV
2007-01-03,,BLS
2007-01-03,,PTC
2007-01-04,ESV,
2007-01-10,AVB,
2007-01-10,,SBL
2007-02-01,,CMVT
2007-02-02,RL,
2007-02-12,VAR,
2007-02-12,,EOP
2007-02-15,HCBK,
2007-02-15,,APCC
2007-02-22,,PGL
2007-03-02,CHRW,
2007-03-02,,HMA
2007-03-20,HST,
2007-03-20,,PD
2007-03-23,DDR,
2007-03-23,,CMX
2007-03-29,ANF,
2007-03-29,,UVN
2007-04-02,MDLZ,
2007-04-02,,TSG
2007-04-10,AIZ,
2007-04-10,,H
2007-05-31,,KMI
2007-06-01,,MEDI
2007-07-02,COV,
2007-07-02,DFS,
2007-07-02,GGP,
2007-07-02,TEL,
2007-07-02,,ADCT
2007-07-02,,MEL
2007-07-02,,PMCS
2007-07-02,,SANM
2007-07-09,ACAS,
2007-07-09,,DG
2007-07-12,AKAM,
2007-07-12,,BMET
2007-08-27,JEF,
2007-08-27,,KSE
2007-09-07,MCHP,
2007-09-07,,CBSS
2007-09-25,,FDC
2007-09-26,ICE,
2007-09-27,ANDV,
2007-09-27,,MXIM
2007-10-01,TDC,
2007-10-01,,NCR
2007-10-02,EXPE,
2007-10-02,,SLR
2007-10-08,NBL,
2007-10-08,,ASN
2007-10-10,EXPD,
2007-10-10,,TXU
2007-10-25,NYX,
2007-10-25,,HLT
2007-10-26,JEC,
2007-10-26,,AV
2007-10-29,TIE,
2007-10-29,,BOL
2007-11-09,,HCR
2007-11-16,MTW,
2007-11-16,,TEK
2007-11-19,AMT,
2007-11-19,,AT
2007-12-14,GME,
2007-12-14,,DJ
2007-12-21,RRC,
2007-12-21,,TRB
2007-12-31,GHC,
2007-12-31,,TIN
2008-01-02,TSS,
2008-01-02,,SNV
2008-01-29,CAM,
2008-01-29,,HET
2008-03-31,PM,
2008-03-31,,CBH
2008-03-31,,CCTYQ
2008-06-02,ISRG,
2008-06-02,,BSC
2008-06-06,SWN,
2008-06-06,,TT
2008-06-11,LO,
2008-06-11,,ABKFQ
2008-06-23,COG,
2008-06-23,MEE,
2008-06-23,,BC
2008-06-23,,OMX
2008-07-01,SNI,
2008-07-01,,CFC
2008-07-01,,SSP
2008-07-18,MA,
2008-07-31,DVA,
2008-07-31,,CCU
2008-08-21,IVZ,
2008-08-21,,IAC
2008-08-26,,EDS
2008-08-27,CF,
2008-09-11,,FMCC
2008-09-11,,FNMA
2008-09-15,CRM,
2008-09-15,FAST,
2008-09-17,,LEHMQ
2008-09-22,HRS,
2008-09-23,,SAF
2008-09-24,PXD,
2008-09-30,APH,
2008-09-30,,WAMUQ
2008-09-30,,WEN
2008-10-02,FLS,
2008-10-07,KDP,
2008-10-07,,WWY
2008-10-22,NDAQ,
2008-10-22,,DDS
2008-10-31,WEC,
2008-10-31,,MTG
2008-11-06,SJM,
2008-11-06,,TEX
2008-11-11,,UIS
2008-11-13,PBCT,
2008-11-13,,GGP
2008-11-14,WYNN,
2008-11-14,XRAY,
2008-11-14,,ASH
2008-11-14,,HPC
2008-11-17,CEPH,
2008-11-18,,BUD
2008-11-19,SRCL,
2008-11-24,,ABI
2008-12-02,,KATE
2008-12-05,RSG,
2008-12-05,,AW
2008-12-19,EQT,
2008-12-23,,BRL
2009-01-02,FLIR,
2009-01-02,OI,
2009-01-02,SCG,
2009-01-02,,MER
2009-01-02,,NCC
2009-01-02,,WB
2009-01-06,IRM,
2009-01-06,,UST
2009-01-30,WELL,
2009-01-30,,SOV
2009-02-26,,WFT
2009-03-04,HRL,
2009-03-04,VTR,
2009-03-04,,ACAS
2009-03-04,,JNY
2009-03-17,ES,
2009-03-27,ORLY,
2009-03-30,TWC,
2009-03-30,,DDR
2009-04-02,DNR,
2009-04-02,,ROH
2009-06-03,,MTLQQ
2009-06-05,FTI,
2009-06-05,,COV
2009-06-09,ATGE,
2009-06-26,,TEL
2009-06-30,TMUS,
2009-07-01,PWR,
2009-07-01,WDC,
2009-07-01,,EQ
2009-07-27,RHT,
2009-07-27,,CITGQ
2009-08-19,FMC,
2009-08-19,,CTX
2009-09-01,CFN,
2009-09-01,,MTW
2009-09-09,ARG,
2009-09-09,,CBE
2009-10-16,FSLR,
2009-10-16,,WYE
2009-11-04,,SGP
2009-11-06,BKNG,
2009-12-21,CLF,
2009-12-21,LDOS,
2009-12-21,MJN,
2009-12-21,ROST,
2009-12-21,V,
2009-12-21,,CIEN
2009-12-21,,CVG
2009-12-21,,DYN
2009-12-21,,KBH
2009-12-21,,MBI
2009-12-23,ROP,
2009-12-23,,ESV
2010-01-29,NRG,
2010-02-08,,ACS
2010-02-16,BRK-B,
2010-02-16,,BNI
2010-02-26,,RX
2010-03-01,DISCA,
2010-03-01,HP,
2010-03-01,,PBG
2010-03-15,OKE,
2010-03-15,,BDK
2010-04-29,,BJS
2010-04-30,CERN,
2010-06-28,KMX,
2010-06-28,,XTO
2010-07-01,QEP,
2010-12-20,CVC,
2010-12-20,FFIV,
2010-12-20,NFLX,
2010-12-20,NFX,
2010-12-20,,EKDKQ
2010-12-20,,NYT
2010-12-20,,ODP
2011-01-04,MMI,
2011-01-04,,MDP
2011-01-18,,QLGC
2011-02-28,JOY,
2011-02-28,,AYE
2011-03-01,COV,
2011-04-01,EW,
2011-04-04,BLK,
2011-04-04,,GENZ
2011-04-28,CMG,
2011-04-28,,NOVL
2011-06-02,,MEE
2011-07-01,MPC,
2011-07-06,ACN,
2011-09-26,MOS,
2011-10-14,,CEPH
2011-10-17,TEL,
2011-11-01,XYL,
2011-11-01,,ITT
2011-11-23,CBE,
2011-11-23,,JNS
2011-12-19,BWA,
2011-12-19,DLTR,
2011-12-19,PRGO,
2011-12-19,,MWW
2011-12-21,TRIP,
2011-12-21,,TLAB
2012-01-03,WPX,
2012-03-13,CCI,
2012-04-02,,MHS
2012-05-01,PSX,
2012-05-01,,SVU
2012-05-22,,MMI
2012-05-25,ALXN,
2012-05-25,KMI,
2012-05-25,,EP
2012-06-05,LRCX,
2012-06-29,MNST,
2012-07-02,STX,
2012-07-27,,GR
2012-07-31,ESV,
2012-09-05,LYB,
2012-10-01,PNR,
2012-10-01,,ATGE
2012-10-01,,LXK
2012-10-02,KRFT,
2012-10-05,PETM,
2012-12-03,DG,
2012-12-03,,CBE
2012-12-12,GRMN,
2012-12-12,,RRD
2012-12-24,APTV,
2012-12-24,,TIE
2013-01-02,ABBV,
2013-01-02,,FII
2013-02-14,PVH,
2013-02-14,,BIG
2013-05-01,REGN,
2013-05-01,,TMUS
2013-05-09,MAC,
2013-05-24,KSU,
2013-05-24,,DF
2013-06-07,GM,
2013-06-07,,HNZ
2013-06-24,ZTS,
2013-06-24,,FHN
2013-07-01,NWSA,
2013-07-01,,APOL
2013-07-09,NLSN,
2013-09-11,DAL,
2013-09-23,AME,
2013-09-23,VRTX,
2013-09-23,,AMD
2013-09-23,,LDOS
2013-11-13,KORS,
2013-11-13,,NYX
2013-12-02,ALLE,
2013-12-02,,JCP
2013-12-09,,MOLX
2013-12-10,GGP,
2013-12-23,ADS,
2013-12-23,FB,
2013-12-23,MHK,
2013-12-23,,ANF
2013-12-23,,TER
2013-12-23,,VIAV
2014-01-24,TSCO,
2014-03-24,GMCR,
2014-03-24,,WPX
2014-04-02,ESS,
2014-04-02,,CLF
2014-04-03,GOOG,
2014-05-01,NAVI,
2014-05-01,UAA,
2014-05-01,,SLM
2014-05-07,,LSI
2014-05-08,AVGO,
2014-06-20,XEC,
2014-06-20,,IGT
2014-07-01,AMG,
2014-07-01,,FRX
2014-07-02,MLM,
2014-07-02,,X
2014-08-07,DISCK,
2014-08-19,,RDC
2014-09-22,UHS,
2014-09-22,URI,
2014-09-22,,BTUUQ
2014-09-22,,GHC
2014-11-05,LVLT,
2014-11-05,,JBL
2014-12-05,RCL,
2014-12-05,,BMS
2015-01-27,ENDP,
2015-01-27,HCA,
2015-01-27,,COV
2015-01-27,,SWY
2015-03-12,SWKS,
2015-03-12,,PETM
2015-03-17,,CFN
2015-03-18,HSIC,
2015-03-23,AAL,
2015-03-23,EQIX,
2015-03-23,HBI,
2015-03-23,SLG,
2015-03-23,,AVP
2015-03-23,,DNR
2015-03-23,,NBR
2015-04-07,O,
2015-04-07,,WIN
2015-06-12,QRVO,
2015-06-12,,LO
2015-07-01,BXLT,
2015-07-01,JBHT,
2015-07-01,,QEP
2015-07-02,CPGX,
2015-07-02,WRK,
2015-07-02,,ATI
2015-07-02,,MWV
2015-07-06,KHC,
2015-07-06,,KRFT
2015-07-07,,FDO
2015-07-09,AAP,
2015-07-20,PYPL,
2015-08-31,ATVI,
2015-09-03,UAL,
2015-09-03,,HSP
2015-09-21,CMCSK,
2015-09-21,NWS,
2015-10-08,VRSK,
2015-10-08,,JOY
2015-11-02,HPE,
2015-11-02,,HCBK
2015-11-10,FCPT,
2015-11-17,,FCPT
2015-11-18,SYF,
2015-11-18,,GNW
2015-11-18,,SIAL
2015-11-19,ILMN,
2015-11-30,CSRA,
2015-12-01,,DXC
2015-12-14,,CMCSK
2015-12-29,CHD,
2016-01-04,CPRI,
2016-01-05,WLTW,
2016-01-19,EXR,
2016-02-01,CFG,
2016-02-01,FRT,
2016-02-01,,BRCM
2016-02-22,CXO,
2016-03-03,,GMCR
2016-03-04,AWK,
2016-03-04,,CNX
2016-03-07,UDR,
2016-03-30,CNC,
2016-03-30,HOLX,
2016-03-30,,ESV
2016-04-04,FL,
2016-04-04,,CAM
2016-04-08,UA,
2016-04-18,ULTA,
2016-04-18,,THC
2016-04-25,GPN,
2016-04-25,,GME
2016-05-03,AYI,
2016-05-12,,SNDK
2016-05-13,ALK,
2016-05-18,DLR,
2016-05-18,,TWC
2016-05-23,LKQ,
2016-05-23,,ARG
2016-05-31,AJG,
2016-06-03,TDG,
2016-06-03,,BXLT
2016-06-21,,CVC
2016-06-24,FBHS,
2016-07-01,ALB,
2016-07-01,LNT,
2016-07-01,,CPGX
2016-07-01,,TE
2016-07-05,FTV,
2016-09-06,MTD,
2016-09-08,CHTR,
2016-09-23,COO,
2016-10-03,COTY,
2016-12-02,EVHC,
2016-12-02,MAA,
2016-12-02,,LM
2016-12-02,,OI
2017-01-05,IDXX,
2017-01-05,,STJ
2017-02-28,INCY,
2017-03-01,CBOE,
2017-03-01,,PBI
2017-03-02,REG,
2017-03-02,,ENDP
2017-03-13,DISH,
2017-03-13,,LLTC
2017-03-16,SNPS,
2017-03-20,AMD,
2017-03-20,ARE,
2017-03-20,RJF,
2017-03-20,,FSLR
2017-03-20,,FTR
2017-04-04,DXC,
2017-04-04,,SWN
2017-04-05,IT,
2017-06-02,INFO,
2017-06-02,,TGNA
2017-06-15,,MJN
2017-06-19,ALGN,
2017-06-19,ANSS,
2017-06-19,HLT,
2017-06-19,RE,
2017-06-19,,R
2017-06-19,,TDC
2017-07-25,,RAI
2017-07-26,AOS,
2017-07-26,DRE,
2017-07-26,MGM,
2017-07-26,PKG,
2017-07-26,RMD,
2017-07-26,,BBBY
2017-07-26,,MUR
2017-08-07,BHF,
2017-08-08,,AN
2017-08-28,,WFM
2017-08-29,IQV,
2017-09-01,DWDP,
2017-09-01,SBAC,
2017-09-01,,DD
2017-09-13,,SPLS
2017-09-18,CDNS,
2017-10-13,NCLH,
2017-10-13,,LVLT
2017-12-29,,BCR
2018-01-03,HII,
2018-03-07,IPGP,
2018-03-07,,SNI
2018-03-19,NKTR,
2018-03-19,SIVB,
2018-03-19,TTWO,
2018-03-19,,PDCO
2018-04-04,MSCI,
2018-04-04,,CSRA
2018-05-31,ABMD,
2018-06-05,EVRG,
2018-06-05,,NAVI
2018-06-07,TWTR,
2018-06-15,,TWX
2018-06-18,BR,
2018-06-18,HFC,
2018-06-18,,AYI
2018-06-18,,RRC
2018-06-20,FLT,
2018-07-02,CPRT,
2018-07-02,,KDP
2018-08-28,ANET,
2018-08-28,,GGP
2018-09-17,WCG,
2018-09-19,,KORS
2018-10-01,ROL,
2018-10-01,,ANDV
2018-10-11,FTNT,
2018-10-11,,EVHC
2018-11-06,KEYS,
2018-11-06,LIN,
2018-11-06,,CA
2018-11-13,JKHY,
2018-11-13,,EQT
2018-11-27,,COL
2018-11-29,,AET
2018-12-03,FANG,
2018-12-03,LW,
2018-12-03,MXIM,
2018-12-03,,SRCL
2018-12-21,,ESRX
2018-12-24,CE,
2019-01-02,FRC,
2019-01-02,,SCG
2019-01-18,TFX,
2019-01-18,,PCG
2019-02-15,ATO,
2019-02-15,,NFX
2019-02-27,WAB,
2019-02-27,,GT
2019-04-02,,BHF
2019-06-01,LHX,
2019-06-01,,HRS
2019-06-03,CTVA,
2019-06-03,DD,
2019-06-03,,DWDP
2019-06-03,,FLR
2019-06-07,AMCR,
2019-06-07,,MAT
2019-07-01,MKTX,
2019-07-15,TMUS,
2019-07-15,,RHT
2019-08-08,GL,
2019-08-08,,TMK
2019-08-09,IEX,
2019-08-09,LDOS,
2019-08-09,,APC
2019-08-09,,FL
2019-09-23,CDW,
2019-09-23,,TSS
2019-09-26,NVR,
2019-09-26,,JEF
2019-10-03,LVS,
2019-10-03,,NKTR
2019-10-18,BKR,
2019-11-05,NLOK,
2019-11-05,PEAK,
2019-11-05,,SYMC
2019-11-21,NOW,
2019-11-21,,CELG
2019-12-05,VIAC,
2019-12-05,WRB,
2019-12-05,,CBS
2019-12-05,,VIAB
2019-12-09,ODFL,
2019-12-09,TFC,
2019-12-09,,BBT
2019-12-09,,STI
2019-12-10,J,
2019-12-10,,JEC
2019-12-23,LYV,
2019-12-23,STE,
2019-12-23,ZBRA,
2019-12-23,,AMG
2019-12-23,,MAC
2019-12-23,,TRIP
2020-01-28,PAYC,
2020-01-28,,WCG
2020-03-03,TT,
2020-03-03,,XEC
2020-04-03,CARR,
2020-04-03,OTIS,
2020-04-03,RTX,
2020-04-03,,UTX
2020-04-06,HWM,
2020-04-06,,M
2020-04-06,,RTN
2020-05-12,DPZ,
2020-05-12,DXCM,
2020-05-12,,CPRI
2020-05-22,WST,
2020-05-22,,HP
2020-06-22,BIO,
2020-06-22,TDY,
2020-06-22,TYL,
2020-06-22,,ADS
2020-06-22,,HOG
2020-06-22,,JWN
2020-09-18,LUMN,
2020-09-18,,CTL
2020-09-21,CTLT,
2020-09-21,ETSY,
2020-09-21,TER,
2020-09-21,,COTY
2020-09-21,,HRB
2020-09-21,,KSS
2020-10-07,POOL,
2020-10-07,,ETFC
2020-10-12,VNT,
2020-10-12,,NBL
2020-11-17,VTRS,
2020-11-17,,MYL
2020-12-21,TSLA,
2020-12-21,,AIV
2021-01-07,ENPH,
2021-01-07,,TIF
2021-01-21,TRMB,
2021-01-21,,CXO
2021-02-12,MPWR,
2021-02-12,,FTI
2021-03-22,CZR,
2021-03-22,GNRC,
2021-03-22,NXPI,
2021-03-22,PENN,
2021-03-22,,FLS
2021-03-22,,SLG
2021-03-22,,VNT
2021-03-22,,XRX
2021-04-20,PTC,
2021-04-20,,VAR
2021-05-14,CRL,
2021-05-14,,FLIR
2021-06-04,OGN,
2021-06-04,,HFC
2021-07-21,MRNA,
2021-07-21,,ALXN
2021-08-03,BBWI,
2021-08-03,,LB
2021-08-30,TECH,
2021-08-30,,MXIM
2021-09-20,BRO,
2021-09-20,CDAY,
2021-09-20,MTCH,
2021-09-20,,NOV
2021-09-20,,PRGO
2021-09-20,,UNM
2021-10-04,CTRA,
2021-10-04,,COG
2021-12-14,EPAM,
2021-12-14,,KSU
2021-12-20,FDS,
2021-12-20,SBNY,
2021-12-20,SEDG,
2021-12-20,,HBI
2021-12-20,,LEG
2021-12-20,,WU
2022-01-20,WTW,
2022-01-20,,WLTW
2022-02-02,,GPS
2022-02-15,NDSN,
2022-02-15,,XLNX
2022-02-17,PARA,
2022-02-17,,VIAC
2022-03-02,MOH,
2022-03-02,,INFO
2022-04-04,CPT,
2022-04-04,,PBCT
2022-04-11,WBD,
2022-04-11,,DISCA
2022-04-11,,DISCK
2022-05-10,BALL,
2022-05-10,,BLL
2022-06-08,VICI,
2022-06-08,,CERN
2022-06-09,META,
2022-06-09,,FB
2022-06-21,ON,
2022-06-21,,IPGP
2022-06-21,KDP,
2022-06-21,,UA
2022-06-21,,UAA
2022-06-28,ELV,
2022-06-28,,ANTM
2022-09-19,CSGP,
2022-09-19,INVH,
2022-09-19,,PENN
2022-09-19,,PVH
2022-10-03,EQT,
2022-10-03,PCG,
2022-10-03,,CTXS
2022-10-03,,DRE
2022-10-12,TRGP,
2022-10-12,,NLSN
2022-11-01,ACGL,
2022-11-01,,TWTR
2022-11-08,GEN,
2022-11-08,,NLOK
2022-12-19,FSLR,
2022-12-19,,FBHS
2022-12-22,STLD,
2022-12-22,,ABMD
2023-01-04,GEHC,
2023-01-04,,VNO
2023-03-15,BG,
2023-03-15,PODD,
2023-03-15,,SBNY
2023-03-15,,SIVB
2023-03-20,FICO,
2023-03-20,,LUMN
2023-05-07,AXON,
2023-05-07,,FRC
2023-05-17,CEG,
2023-05-17,DOW,
2023-05-17,FOX,
2023-05-17,FOXA,
2023-05-17,IR,
2023-05-18,RVTY,
2023-05-18,,PKI
2023-06-03,PANW,
2023-06-03,,DISH
2023-06-04,DISH,
2023-06-04,,PANW
2023-06-08,FI,
2023-06-08,,FISV
2023-06-20,PANW,
2023-06-20,,DISH
2023-07-11,EG,
2023-07-11,,RE
2023-08-29,KVUE,
2023-08-29,,AAP
2023-08-31,,ABC
2023-09-01,ABC,
2023-09-02,,ABC
2023-09-03,COR,
2023-09-18,ABNB,
2023-09-18,BX,
2023-09-18,,LNC
2023-09-18,,NWL
2023-10-06,VLTO,
2023-10-06,,DXC
2023-10-14,,ATVI
2023-10-18,HUBB,
2023-10-18,LULU,
2023-10-18,,OGN
2023-12-17,BLDR,
2023-12-17,JBL,
2023-12-17,UBER,
2023-12-17,,ALK
2023-12-17,,SEDG
2023-12-17,,SEE
2023-12-31,RVTY (PREVIOUSLY PKI),
2023-12-31,,RVTY
2024-01-01,RVTY,
2024-01-01,,RVTY (PREVIOUSLY PKI)
2024-02-02,DAY,
2024-02-02,,CDAY
2024-03-04,DOC,
2024-03-04,,PEAK
2024-03-18,DECK,
2024-03-18,SMCI,
2024-03-18,,WHR
2024-03-18,,ZION
2024-03-26,,FLT
2024-03-27,CPAY,
2024-04-02,SOLV,
2024-04-03,GEV,
2024-04-04,,VFC
2024-04-04,,XRAY
2024-05-04,,PXD
2024-05-08,VST,
2024-06-23,CRWD,
2024-06-23,GDDY,
2024-06-23,KKR,
2024-06-23,,CMA
2024-06-23,,ILMN
2024-06-23,,RHI
2024-07-09,,WRK
2024-07-12,SW,
2024-09-22,DELL,
2024-09-22,ERIE,
2024-09-22,PLTR,
2024-09-22,,AAL
2024-09-22,,BIO
2024-09-22,,ETSY
2024-10-01,AMTM,
2024-10-01,,BBWI
2024-11-23,,MRO
2024-11-26,TPL,
2024-12-19,,CTLT
2024-12-24,LII,
2024-12-26,APO,
2024-12-26,WDAY,
2024-12-26,,AMTM
2024-12-26,,QRVO
2025-03-25,DASH,
2025-03-25,EXE,
2025-03-25,TKO,
2025-03-25,WSM,
2025-03-25,,BWA
2025-03-25,,CE
2025-03-25,,FMC
2025-03-25,,TFX
2025-05-17,COIN,
2025-05-17,,DFS
2025-07-04,,JNPR
2025-07-11,DDOG,
2025-07-18,TTD,
2025-07-18,,ANSS
2025-07-22,,HES
2025-07-24,XYZ,
2025-08-09,,PARA
2025-08-12,PSKY,
2025-08-28,IBKR,WBA
2025-09-22,EME,ENPH
