date,add_t,rm_t
2025-09-22,HOOD,CZR
2025-09-22,APP,MKTX
2025-10-30,SOLS,
2025-10-31,,KMX
2025-11-03,Q,
2025-11-04,,EMN
2025-11-28,SNDK,IPG
2025-12-11,ARES,K
2025-12-22,CVNA,SOLS
2025-12-22,FIX,MHK
2025-12-22,CRH,LKQ
2026-02-09,CIEN,DAY
2026-03-23,VRT,MTCH
2026-03-23,LITE,MOH
2026-03-23,COHR,LW
2026-03-23,SATS,PAYC
2026-04-09,CASY,HOLX
2026-05-07,VEEV,CTRA
2026-06-01,FDXF,
2026-06-02,,EPAM
2026-06-22,FLEX,CPB
2026-06-22,MRVL,POOL
2026-06-29,HONA,
2026-06-30,,CAG
2026-08-05,FERG,EA
